apt	3.0.3
base-files	13.8+deb13u7
base-passwd	3.6.7
bash	5.2.37-2+b10
bsdutils	1:2.41.5-0+deb13u1
ca-certificates	20250419
coreutils	9.7-3
curl	8.14.1-2+deb13u5
dash	0.5.12-12
debconf	1.5.91
debian-archive-keyring	2025.1
debianutils	5.23.2
diffutils	1:3.10-4
dpkg	1.22.22
findutils	4.10.0-3
gcc-14-base	14.2.0-19
grep	3.11-4+b1
gzip	1.13-1+deb13u1
hostname	3.25
init-system-helpers	1.69~deb13u1
less	668-1
libacl1	2.3.2-2+b1
libapparmor1	4.1.0-1
libapt-pkg7.0	3.0.3
libattr1	1:2.5.2-3
libaudit-common	1:4.0.2-2+deb13u1
libaudit1	1:4.0.2-2+deb13u1
libblkid1	2.41.5-0+deb13u1
libbrotli1	1.1.0-2+b7
libbsd0	0.12.2-2
libbz2-1.0	1.0.8-6
libc-bin	2.41-12+deb13u4
libc6	2.41-12+deb13u4
libcap-ng0	0.8.5-4+b1
libcap2	1:2.75-10+deb13u1+b3
libcom-err2	1.47.2-3+b12
libcrypt1	1:4.4.38-1
libcurl4t64	8.14.1-2+deb13u5
libdb5.3t64	5.3.28+dfsg2-9
libdebconfclient0	0.280
libffi8	3.4.8-2
libgcc-s1	14.2.0-19
libgmp10	2:6.3.0+dfsg-3
libgnutls30t64	3.8.9-3+deb13u4
libgssapi-krb5-2	1.21.3-5+deb13u1
libhogweed6t64	3.10.1-1
libidn2-0	2.3.8-2
libk5crypto3	1.21.3-5+deb13u1
libkeyutils1	1.6.3-6
libkrb5-3	1.21.3-5+deb13u1
libkrb5support0	1.21.3-5+deb13u1
liblastlog2-2	2.41.5-0+deb13u1
libldap2	2.6.10+dfsg-1
liblz4-1	1.10.0-4
liblzma5	5.8.1-1+deb13u1
libmd0	1.1.0-2+b1
libmount1	2.41.5-0+deb13u1
libncursesw6	6.5+20250216-2
libnettle8t64	3.10.1-1
libnghttp2-14	1.64.0-1.1+deb13u1
libnghttp3-9	1.8.0-1
libp11-kit0	0.25.5-3
libpam-modules	1.7.0-5
libpam-modules-bin	1.7.0-5
libpam-runtime	1.7.0-5
libpam0g	1.7.0-5
libpcre2-8-0	10.46-1~deb13u2
libproc2-0	2:4.0.4-9
libpsl5t64	0.21.2-1.1+b1
librtmp1	2.4+20151223.gitfa8646d.1-2+b5
libsasl2-2	2.1.28+dfsg1-9
libsasl2-modules-db	2.1.28+dfsg1-9
libseccomp2	2.6.0-2
libselinux1	3.8.1-1
libsemanage-common	3.8.1-1
libsemanage2	3.8.1-1
libsepol2	3.8.1-1
libsmartcols1	2.41.5-0+deb13u1
libsqlite3-0	3.46.1-7+deb13u2
libssh2-1t64	1.11.1-1+deb13u2
libssl3t64	3.5.7-1~deb13u2
libstdc++6	14.2.0-19
libsystemd0	257.13-1~deb13u1
libtasn1-6	4.20.0-2+deb13u1
libtinfo6	6.5+20250216-2
libudev1	257.13-1~deb13u1
libunistring5	1.3-2
libuuid1	2.41.5-0+deb13u1
libxxhash0	0.8.3-2
libzstd1	1.5.7+dfsg-1
login	1:4.16.0-2+really2.41.5-0+deb13u1
login.defs	1:4.17.4-2
mawk	1.3.4.20250131-1
mount	2.41.5-0+deb13u1
nano	8.4-1+deb13u1
ncurses-base	6.5+20250216-2
ncurses-bin	6.5+20250216-2
netbase	6.5
openssl	3.5.7-1~deb13u2
openssl-provider-legacy	3.5.7-1~deb13u2
passwd	1:4.17.4-2
perl-base	5.40.1-6+deb13u1
procps	2:4.0.4-9
sed	4.9-2+deb13u1
sqv	1.3.0-3+b2
sudo	1.9.16p2-3+deb13u2
sysvinit-utils	3.14-4
tar	1.35+dfsg-3.1
tzdata	2026c-0+deb13u1
util-linux	2.41.5-0+deb13u1
zlib1g	1:1.3.dfsg+really1.3.1-1+b1
